# Unicode 17.0 sequences supplementing the existing Twemoji catalog.
# Code points	PNG filename	Unicode name	Emoji version
1F64D 1F3FB 200D 2640	1f64d-1f3fb-200d-2640-fe0f.png	woman frowning: light skin tone	4.0
1F64D 1F3FC 200D 2640	1f64d-1f3fc-200d-2640-fe0f.png	woman frowning: medium-light skin tone	4.0
1F64D 1F3FD 200D 2640	1f64d-1f3fd-200d-2640-fe0f.png	woman frowning: medium skin tone	4.0
1F64D 1F3FE 200D 2640	1f64d-1f3fe-200d-2640-fe0f.png	woman frowning: medium-dark skin tone	4.0
1F64D 1F3FF 200D 2640	1f64d-1f3ff-200d-2640-fe0f.png	woman frowning: dark skin tone	4.0
1F64E 200D 2642	1f64e-200d-2642-fe0f.png	man pouting	4.0
1F64E 1F3FB 200D 2642	1f64e-1f3fb-200d-2642-fe0f.png	man pouting: light skin tone	4.0
1F64E 1F3FC 200D 2642	1f64e-1f3fc-200d-2642-fe0f.png	man pouting: medium-light skin tone	4.0
1F64E 1F3FD 200D 2642	1f64e-1f3fd-200d-2642-fe0f.png	man pouting: medium skin tone	4.0
1F64E 1F3FE 200D 2642	1f64e-1f3fe-200d-2642-fe0f.png	man pouting: medium-dark skin tone	4.0
1F64E 1F3FF 200D 2642	1f64e-1f3ff-200d-2642-fe0f.png	man pouting: dark skin tone	4.0
1F64E 200D 2640	1f64e-200d-2640-fe0f.png	woman pouting	4.0
1F64E 1F3FB 200D 2640	1f64e-1f3fb-200d-2640-fe0f.png	woman pouting: light skin tone	4.0
1F64E 1F3FC 200D 2640	1f64e-1f3fc-200d-2640-fe0f.png	woman pouting: medium-light skin tone	4.0
1F64E 1F3FD 200D 2640	1f64e-1f3fd-200d-2640-fe0f.png	woman pouting: medium skin tone	4.0
1F64E 1F3FE 200D 2640	1f64e-1f3fe-200d-2640-fe0f.png	woman pouting: medium-dark skin tone	4.0
1F64E 1F3FF 200D 2640	1f64e-1f3ff-200d-2640-fe0f.png	woman pouting: dark skin tone	4.0
1F645 200D 2642	1f645-200d-2642-fe0f.png	man gesturing NO	4.0
1F645 1F3FB 200D 2642	1f645-1f3fb-200d-2642-fe0f.png	man gesturing NO: light skin tone	4.0
1F645 1F3FC 200D 2642	1f645-1f3fc-200d-2642-fe0f.png	man gesturing NO: medium-light skin tone	4.0
1F645 1F3FD 200D 2642	1f645-1f3fd-200d-2642-fe0f.png	man gesturing NO: medium skin tone	4.0
1F645 1F3FE 200D 2642	1f645-1f3fe-200d-2642-fe0f.png	man gesturing NO: medium-dark skin tone	4.0
1F645 1F3FF 200D 2642	1f645-1f3ff-200d-2642-fe0f.png	man gesturing NO: dark skin tone	4.0
1F645 200D 2640	1f645-200d-2640-fe0f.png	woman gesturing NO	4.0
1F645 1F3FB 200D 2640	1f645-1f3fb-200d-2640-fe0f.png	woman gesturing NO: light skin tone	4.0
1F645 1F3FC 200D 2640	1f645-1f3fc-200d-2640-fe0f.png	woman gesturing NO: medium-light skin tone	4.0
1F645 1F3FD 200D 2640	1f645-1f3fd-200d-2640-fe0f.png	woman gesturing NO: medium skin tone	4.0
1F645 1F3FE 200D 2640	1f645-1f3fe-200d-2640-fe0f.png	woman gesturing NO: medium-dark skin tone	4.0
1F645 1F3FF 200D 2640	1f645-1f3ff-200d-2640-fe0f.png	woman gesturing NO: dark skin tone	4.0
1F646 200D 2642	1f646-200d-2642-fe0f.png	man gesturing OK	4.0
1F646 1F3FB 200D 2642	1f646-1f3fb-200d-2642-fe0f.png	man gesturing OK: light skin tone	4.0
1F646 1F3FC 200D 2642	1f646-1f3fc-200d-2642-fe0f.png	man gesturing OK: medium-light skin tone	4.0
1F646 1F3FD 200D 2642	1f646-1f3fd-200d-2642-fe0f.png	man gesturing OK: medium skin tone	4.0
1F646 1F3FE 200D 2642	1f646-1f3fe-200d-2642-fe0f.png	man gesturing OK: medium-dark skin tone	4.0
1F646 1F3FF 200D 2642	1f646-1f3ff-200d-2642-fe0f.png	man gesturing OK: dark skin tone	4.0
1F646 200D 2640	1f646-200d-2640-fe0f.png	woman gesturing OK	4.0
1F646 1F3FB 200D 2640	1f646-1f3fb-200d-2640-fe0f.png	woman gesturing OK: light skin tone	4.0
1F646 1F3FC 200D 2640	1f646-1f3fc-200d-2640-fe0f.png	woman gesturing OK: medium-light skin tone	4.0
1F646 1F3FD 200D 2640	1f646-1f3fd-200d-2640-fe0f.png	woman gesturing OK: medium skin tone	4.0
1F646 1F3FE 200D 2640	1f646-1f3fe-200d-2640-fe0f.png	woman gesturing OK: medium-dark skin tone	4.0
1F646 1F3FF 200D 2640	1f646-1f3ff-200d-2640-fe0f.png	woman gesturing OK: dark skin tone	4.0
1F481 200D 2642	1f481-200d-2642-fe0f.png	man tipping hand	4.0
1F481 1F3FB 200D 2642	1f481-1f3fb-200d-2642-fe0f.png	man tipping hand: light skin tone	4.0
1F481 1F3FC 200D 2642	1f481-1f3fc-200d-2642-fe0f.png	man tipping hand: medium-light skin tone	4.0
1F481 1F3FD 200D 2642	1f481-1f3fd-200d-2642-fe0f.png	man tipping hand: medium skin tone	4.0
1F481 1F3FE 200D 2642	1f481-1f3fe-200d-2642-fe0f.png	man tipping hand: medium-dark skin tone	4.0
1F481 1F3FF 200D 2642	1f481-1f3ff-200d-2642-fe0f.png	man tipping hand: dark skin tone	4.0
1F481 200D 2640	1f481-200d-2640-fe0f.png	woman tipping hand	4.0
1F481 1F3FB 200D 2640	1f481-1f3fb-200d-2640-fe0f.png	woman tipping hand: light skin tone	4.0
1F481 1F3FC 200D 2640	1f481-1f3fc-200d-2640-fe0f.png	woman tipping hand: medium-light skin tone	4.0
1F481 1F3FD 200D 2640	1f481-1f3fd-200d-2640-fe0f.png	woman tipping hand: medium skin tone	4.0
1F481 1F3FE 200D 2640	1f481-1f3fe-200d-2640-fe0f.png	woman tipping hand: medium-dark skin tone	4.0
1F481 1F3FF 200D 2640	1f481-1f3ff-200d-2640-fe0f.png	woman tipping hand: dark skin tone	4.0
1F64B 200D 2642	1f64b-200d-2642-fe0f.png	man raising hand	4.0
1F64B 1F3FB 200D 2642	1f64b-1f3fb-200d-2642-fe0f.png	man raising hand: light skin tone	4.0
1F64B 1F3FC 200D 2642	1f64b-1f3fc-200d-2642-fe0f.png	man raising hand: medium-light skin tone	4.0
1F64B 1F3FD 200D 2642	1f64b-1f3fd-200d-2642-fe0f.png	man raising hand: medium skin tone	4.0
1F64B 1F3FE 200D 2642	1f64b-1f3fe-200d-2642-fe0f.png	man raising hand: medium-dark skin tone	4.0
1F64B 1F3FF 200D 2642	1f64b-1f3ff-200d-2642-fe0f.png	man raising hand: dark skin tone	4.0
1F64B 200D 2640	1f64b-200d-2640-fe0f.png	woman raising hand	4.0
1F64B 1F3FB 200D 2640	1f64b-1f3fb-200d-2640-fe0f.png	woman raising hand: light skin tone	4.0
1F64B 1F3FC 200D 2640	1f64b-1f3fc-200d-2640-fe0f.png	woman raising hand: medium-light skin tone	4.0
1F64B 1F3FD 200D 2640	1f64b-1f3fd-200d-2640-fe0f.png	woman raising hand: medium skin tone	4.0
1F64B 1F3FE 200D 2640	1f64b-1f3fe-200d-2640-fe0f.png	woman raising hand: medium-dark skin tone	4.0
1F64B 1F3FF 200D 2640	1f64b-1f3ff-200d-2640-fe0f.png	woman raising hand: dark skin tone	4.0
